customer_id,age,income,spending_score,purchase_amount,years_customer,num_purchases,satisfaction_score,region,product_category,gender,education,marital_status
1,45,77987.10873172004,54.958756207334005,296.01391993516677,1.9908699184785568,6,6.435748446132178,North,Sports,Male,High School,Divorced
2,38,68492.67365825537,64.51991912808627,640.8044251648168,0.26781534259580614,8,9.46140580996894,North,Books,Female,High School,Single
3,47,51192.60739840348,34.15160158000077,417.27889331567116,10.776498780027769,8,5.102094344462643,West,Sports,Male,Bachelor,Married
4,58,41243.369945893435,43.84076940721919,877.5375314680381,2.189498421074548,10,5.186194250555878,East,Electronics,Male,Bachelor,Married
5,37,63964.4662722718,27.984024290025253,807.0304582911149,2.8572015725784503,9,2.299088294751278,West,Electronics,Male,Bachelor,Divorced
6,37,57869.707708434995,59.64143983271567,232.90368618002174,0.809957860223878,7,10.0,South,Sports,Female,Master,Single
7,58,76739.31336310343,65.49095381126031,846.3940334533097,1.9820288489654154,13,5.272040301847843,South,Home,Male,High School,Married
8,49,62703.43603363939,38.35723464255268,407.635282741792,1.6818837326584846,12,6.74693484050588,North,Home,Male,Bachelor,Single
9,34,70991.05430638671,81.19941359488887,887.217606936019,0.23354683370364682,9,5.179351316143432,East,Home,Female,PhD,Single
10,46,39295.29576878864,77.01421794851349,405.7750696364243,0.3366866588426644,8,8.390330496660281,South,Clothing,Female,High School,Divorced
11,34,76347.88131268651,44.138084213908755,648.3620473100607,5.450724544414575,7,6.24873267856532,West,Books,Female,High School,Divorced
12,34,53951.99209384799,34.745504428675716,765.1593295084381,0.8225999063039637,7,4.390366219134101,South,Sports,Female,Master,Single
13,42,91505.21745250531,44.00774817258278,443.82299048445054,0.650583498778147,8,7.883325128372121,South,Clothing,Female,High School,Single
14,18,36216.243638208645,31.201937977822706,220.57636297740174,2.109055938145048,6,4.1325399503795435,West,Home,Male,Bachelor,Divorced
15,19,84719.27606330498,84.46370846748697,609.9018211663149,4.3927304932430395,10,5.325188549369018,North,Sports,Male,Bachelor,Single
16,33,53958.21566925295,46.12347722454393,707.6757702038633,0.19184494548292935,16,2.7862217707478383,East,Clothing,Female,PhD,Divorced
17,27,36971.63992771103,44.70970317378779,196.13078490463153,2.5797873369424007,8,4.152083775604787,North,Electronics,Female,High School,Single
18,43,40322.28331891357,9.92275271186493,50.0,0.380809649189936,8,7.357058339440956,West,Home,Female,High School,Divorced
19,29,43593.0538361136,62.70836060418453,409.7682283182003,0.11142710180925408,3,3.0709279237941507,South,Clothing,Female,Master,Single
20,23,58483.31892803833,25.21483210293055,610.3481599821841,0.16255753343087886,10,4.037708550756569,East,Electronics,Male,Bachelor,Divorced
21,57,76221.14998635369,53.85831383379809,907.0157746533173,5.3902697498454355,6,6.995262167734384,North,Home,Male,PhD,Single
